,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17001,12.252955,11.94575,182.06471,177.5,0.52448004,4.5647125
1,17003,11.342605,12.22841,168.53796,181.7,0.7785724,-13.162033
2,17005,12.317925,12.49088,183.03009,185.6,0.51321024,-2.5699158
3,17007,12.730639,12.93506,189.16255,192.2,0.4748696,-3.037445
4,17009,12.281274,12.20149,182.4855,181.3,0.52391964,1.1855011
5,17011,13.708015,13.41962,203.68523,199.4,0.42547348,4.2852325
6,17013,11.871021,11.88518,176.38962,176.6,0.60596675,-0.21038818
7,17015,14.006742,13.43981,208.12395,199.7,0.44627082,8.42395
8,17017,13.156219,13.78304,195.48616,204.8,0.46516117,-9.313843
9,17019,13.152335,12.96871,195.42847,192.7,0.43687743,2.7284698
10,17021,13.579549,13.33213,201.77635,198.1,0.43301332,3.6763458
11,17023,12.667524,13.41962,188.22473,199.4,0.50725883,-11.175262
12,17025,11.827027,11.42081,175.73592,169.7,0.5635473,6.035919
13,17027,11.517156,11.8448,171.13159,176.0,0.61309445,-4.868408
14,17029,13.227062,13.64171,196.53882,202.70001,0.4697597,-6.161194
15,17033,12.314673,12.06016,182.98178,179.2,0.5212538,3.781784
16,17035,12.338132,12.50434,183.33034,185.8,0.52228713,-2.4696655
17,17037,12.393924,12.80046,184.15935,190.2,0.43486854,-6.0406494
18,17039,13.382808,13.49365,198.85301,200.50002,0.41074777,-1.6470032
19,17041,13.060596,13.84361,194.06532,205.7,0.4597611,-11.634674
20,17045,13.10436,12.71297,194.71559,188.9,0.45353562,5.8155975
21,17047,12.065488,11.66309,179.27917,173.3,0.57044274,5.9791718
22,17049,12.649745,12.84084,187.96056,190.8,0.4890307,-2.839447
23,17051,12.099458,12.24187,179.78392,181.9,0.5237653,-2.1160736
24,17053,12.9329605,12.87449,192.16881,191.3,0.43855697,0.86880493
25,17055,10.796747,11.01701,160.42715,163.7,0.7113223,-3.2728424
26,17057,12.73116,12.37647,189.17029,183.9,0.48403275,5.270294
27,17059,13.018602,11.89191,193.44135,176.7,0.7120975,16.741348
28,17061,12.683026,12.83411,188.45508,190.70001,0.47882634,-2.244934
29,17063,12.3488865,12.3832,183.49014,184.0,0.48447773,-0.5098572
30,17065,11.56787,11.40735,171.88515,169.5,0.64207363,2.385147
31,17067,13.53576,13.69555,201.1257,203.5,0.45992607,-2.374298
32,17071,13.670903,13.41962,203.13377,199.4,0.47373238,3.73378
