,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17001,3.5868134,4.08511,53.29589,60.700005,0.22803311,-7.404114,"Adams County, IL"
1,17005,4.342211,3.85629,64.52022,57.300003,0.19426914,7.220215,"Bond County, IL"
2,17007,4.0278273,4.01108,59.848846,59.6,0.16667517,0.24884796,"Boone County, IL"
3,17009,3.7290807,4.19952,55.409817,62.4,0.22124095,-6.990185,"Brown County, IL"
4,17011,4.31496,4.50237,64.1153,66.9,0.1820695,-2.7846985,"Bureau County, IL"
5,17013,3.451868,4.01781,51.29076,59.699997,0.23279484,-8.409237,"Calhoun County, IL"
6,17015,4.334218,4.73792,64.40146,70.4,0.16290484,-5.998543,"Carroll County, IL"
7,17017,4.350092,4.08511,64.63732,60.700005,0.19866543,3.937317,"Cass County, IL"
8,17019,4.5506587,4.85906,67.617516,72.2,0.17282705,-4.5824814,"Champaign County, IL"
9,17021,4.627364,4.51583,68.75727,67.1,0.17170891,1.6572723,"Christian County, IL"
10,17023,4.4061646,4.26009,65.4705,63.3,0.20469509,2.170498,"Clark County, IL"
11,17025,4.0857105,3.66112,60.708923,54.4,0.21023703,6.308922,"Clay County, IL"
12,17027,4.217546,3.32462,62.667847,49.4,0.20759259,13.267845,"Clinton County, IL"
13,17029,4.588713,4.79849,68.18296,71.3,0.18461397,-3.1170425,"Coles County, IL"
14,17033,4.3929768,4.09184,65.27454,60.8,0.19942649,4.4745445,"Crawford County, IL"
15,17035,4.3800755,4.33412,65.08285,64.399994,0.20224133,0.6828537,"Cumberland County, IL"
16,17037,4.1928105,4.36104,62.300304,64.8,0.16855848,-2.4996986,"DeKalb County, IL"
17,17041,4.6520815,4.58313,69.12454,68.1,0.16218835,1.0245438,"Douglas County, IL"
18,17045,4.4642353,4.45526,66.33337,66.2,0.18942173,0.13336945,"Edgar County, IL"
19,17047,4.120062,3.74861,61.219345,55.7,0.20262992,5.5193443,"Edwards County, IL"
20,17049,4.426111,3.99089,65.766884,59.3,0.19377726,6.4668846,"Effingham County, IL"
21,17051,4.2078357,3.7688,62.523563,56.0,0.20282812,6.5235634,"Fayette County, IL"
22,17053,4.3860707,4.75811,65.17193,70.700005,0.18919083,-5.528076,"Ford County, IL"
23,17055,3.4886642,3.37173,51.837505,50.100002,0.24517518,1.737503,"Franklin County, IL"
24,17057,4.0850573,4.2399,60.69922,63.000004,0.20718421,-2.300785,"Fulton County, IL"
25,17061,4.2207704,4.46872,62.715755,66.4,0.20181814,-3.684246,"Greene County, IL"
26,17063,4.2064595,4.07838,62.503113,60.600002,0.19027321,1.9031105,"Grundy County, IL"
27,17067,4.2704167,4.3745,63.453445,65.0,0.20475538,-1.5465546,"Hancock County, IL"
28,17071,4.31702,4.4418,64.14591,66.0,0.1878059,-1.8540878,"Henderson County, IL"
29,17073,4.2453575,4.38796,63.081093,65.2,0.18929207,-2.118904,"Henry County, IL"
30,17075,4.2722077,4.41488,63.480057,65.6,0.18272151,-2.1199417,"Iroquois County, IL"
31,17079,4.3587027,4.15241,64.765274,61.7,0.2067849,3.0652733,"Jasper County, IL"
32,17081,3.5176368,3.26405,52.268005,48.5,0.25015157,3.7680054,"Jefferson County, IL"
33,17083,4.0963836,4.3072,60.86751,64.0,0.21948576,-3.1324883,"Jersey County, IL"
34,17085,3.9263082,3.71496,58.34039,55.2,0.19363429,3.1403885,"Jo Daviess County, IL"
35,17089,3.9403868,4.09184,58.54958,60.8,0.17506795,-2.2504196,"Kane County, IL"
36,17091,4.095979,4.09184,60.861504,60.8,0.19561803,0.061504364,"Kankakee County, IL"
37,17093,4.3382826,4.12549,64.46185,61.300003,0.17319241,3.16185,"Kendall County, IL"
38,17095,4.3506827,4.31393,64.6461,64.1,0.18707415,0.54610443,"Knox County, IL"
39,17097,3.207426,3.59382,47.658634,53.4,0.20607269,-5.7413673,"Lake County, IL"
40,17099,4.359925,4.36104,64.78343,64.8,0.1795827,-0.016571045,"LaSalle County, IL"
41,17101,4.295706,4.09184,63.82921,60.8,0.19370508,3.0292091,"Lawrence County, IL"
42,17103,4.2794504,4.35431,63.587673,64.700005,0.16965292,-1.1123314,"Lee County, IL"
43,17105,4.354319,4.55621,64.700134,67.700005,0.19414325,-2.9998703,"Livingston County, IL"
44,17107,4.6695747,4.60332,69.38447,68.4,0.16464825,0.98446655,"Logan County, IL"
45,17109,4.3993835,4.56294,65.36974,67.8,0.18036495,-2.4302597,"McDonough County, IL"
46,17113,4.5813317,4.83214,68.07328,71.8,0.17356825,-3.7267227,"McLean County, IL"
47,17117,4.3744884,4.28701,64.999825,63.700005,0.19011699,1.29982,"Macoupin County, IL"
48,17119,4.282855,3.76207,63.638264,55.9,0.19734758,7.738262,"Madison County, IL"
49,17121,4.0861535,3.86975,60.715508,57.5,0.2024562,3.2155075,"Marion County, IL"
50,17123,4.306111,4.63024,63.983818,68.8,0.18916166,-4.816185,"Marshall County, IL"
51,17125,4.026552,4.58313,59.8299,68.1,0.22576208,-8.2701,"Mason County, IL"
52,17127,3.6521482,3.38519,54.26669,50.3,0.23422427,3.96669,"Massac County, IL"
53,17129,4.4403586,4.52256,65.978584,67.200005,0.18405832,-1.2214203,"Menard County, IL"
54,17131,4.1325827,4.38123,61.405388,65.1,0.20728949,-3.6946106,"Mercer County, IL"
55,17133,3.7477913,3.12945,55.687836,46.5,0.21181649,9.187836,"Monroe County, IL"
56,17135,4.531444,4.36777,67.33201,64.9,0.17678621,2.4320068,"Montgomery County, IL"
57,17137,4.3802123,4.5764,65.08488,68.0,0.20035209,-2.915123,"Morgan County, IL"
